,city,food_type,restaurant_count
0,"Chicago, Illinois",pho,233
,city,food_type,restaurant_count
0,"Los Angeles, CA",pho,1500
,city,food_type,restaurant_count
0,"Miami, Florida",pho,67
,city,food_type,restaurant_count
0,"Minneapolis, Minnesota",pho,218
,city,food_type,restaurant_count
0,"Montreal, Quebec",pho,163
,city,food_type,restaurant_count
0,"New York, New York",pho,456
,city,food_type,restaurant_count
0,"San Diego, CA",pho,380
,city,food_type,restaurant_count
0,"San Francisco, CA",pho,598
,city,food_type,restaurant_count
0,"Seattle, Washington",pho,536
,city,food_type,restaurant_count
0,"Toronto, Ontario",pho,282
,city,food_type,restaurant_count
0,"Vancouver, British Columbia",pho,272
,city,food_type,restaurant_count
0,"Washington, DC",pho,337
